complaint_id,product,sub_product,issue,sub_issue,company,channel,state,timely_response,consumer_disputed,reason_code,matched_phrase,sentence_snippet,narrative_preview,narrative_length
6305546,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Was not notified of investigation status or results,Experian Information Solutions Inc.,Web,,Yes,N/A,credit_reporting_issue,credit report,A few weeks ago I sent letters to all XXXX credit bureaus regarding some items on my credit report which I know are not accurate which is a violation of the FCRA and FDCPA and you must abide by the law.,A few weeks ago I sent letters to all XXXX credit bureaus regarding some items on my credit report which I know are not accurate which is a violation of the FCRA and FDCPA and you must abide by the law. Everything I have provided in my letters is true and accurate to my knowledge. Ive received emails and letters saying Im using a 3rd party which is incorrect because I am the one sending my letters out and filing this complaint with no help from a credit repair company or 3rd party. The CRAs are in violation of my rights due to not providing a notice of dispute and for failure to communicate to me that I disputed stuff on my credit. I request these accounts to be deleted from my credit asap or I will take legal action and hire a lawyer. I want to purchase a house soon and this holding me back.,803
8131360,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"CAINE & WEINER COMPANY, INC.",Web,TX,Yes,N/A,credit_reporting_issue,collection account,"Furthermore, I received no communication by mail leading up to the reporting of this collection account.","This is regarding complaint XXXX. The original creditor was contacted and could not furnish information being alleged by the collection agency Caine & Weiner. Furthermore, I received no communication by mail leading up to the reporting of this collection account. This account was added to my records in XX/XX/XXXX. Also, I formally requested a copy of the correspondence that was supposedly mailed to me during that time informing me of this debt with your company, the forward flow agreement, the contract bearing my signature, and your license to collect debt in the state of TX. I submitted the aforementioned account in XX/XX/XXXX. It is now XX/XX/XXXX and you have failed to provide any of the requested information to support your claim. Failure to provide this documentation constitutes yet another violation under the FDCPA, which entitles me to seek {$1000.00} per violation. It is also imp",1212
3426480,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,"EQUIFAX, INC.",Web,FL,Yes,N/A,credit_reporting_issue,Equifax,"I am writting this due to non-compliance with the ( Equifax, XXXX, XXXX ).","I am writting this due to non-compliance with the ( Equifax, XXXX, XXXX ). they have failed to remove information that was affiliated with personal details that were challenged in the past. I strongly believe that they are in violation of the FCRA and are outright refusing to uphold the law.",292
8253290,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,Experian Information Solutions Inc.,Web,CA,Yes,N/A,credit_reporting_issue,inaccurate information,"I lodged a complaint with these Bureaus a month ago, but unfortunately, the inaccurate information on my report still remains.","I lodged a complaint with these Bureaus a month ago, but unfortunately, the inaccurate information on my report still remains. I haven't received any communication from the Bureaus, except for the notification that you sent stating that the company has responded to my complaint. How can I be certain that they have thoroughly checked the inaccuracies on my report? What methods did they employ to validate the accounts? This whole situation is incredibly frustrating! It's been more than 30 days since I filed a complaint with these Bureaus, and yet the disputed accounts have not been updated. If this continues, I will have no choice but to take legal action due to the immense stress this has caused me. Moreover, I am also concerned about the security of my personal data, as it was affected by the XXXX, Experian, and XXXX data breach.",841
3599328,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,AFNI INC.,Web,FL,Yes,N/A,credit_reporting_issue,credit report,"To whom it may concern, On a recent review of my credit report, I discovered your company reporting the collection account on my credit reports.","To whom it may concern, On a recent review of my credit report, I discovered your company reporting the collection account on my credit reports. In regards to the Fair Debt Collection Practices Act ( FDCPA ), I am notifying you that I am disputing this debt in entirety, and you are to provide me with validation of the debt by providing me ALL of the following information : Copy of original contractual agreement bearing my signature between me and this company AFNI A clause in the original signed contract that authorizes you to collect on this debt. 

ALL Statements from the original creditor and itemization of monies owed Copy of bill showing last default date Proof that the debt is valid and collectible and within the statute of limitations for this state Proof that you are licensed to collect in my state of residence Agreement between your company and the original creditor that authori",1179
7963374,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,Web,PA,Yes,N/A,credit_reporting_issue,Credit Reporting,In accordance with the Fair Credit Reporting act.,"In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX, AZ XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, MN XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX WI XXXX XXXX  has violated my rights.

15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report. Also, I demand that Experian shows proof that I gave my written cons",1017
8227454,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,PA,Yes,N/A,credit_reporting_issue,credit report,"I have recently examined a copy of my credit report, which indicated that the credit inquiries listed below were the source of the credit inquiry.","I have recently examined a copy of my credit report, which indicated that the credit inquiries listed below were the source of the credit inquiry. Nevertheless, I did not authorize these inquiries. Kindly investigate my claim in accordance with the Fair Credit Reporting Act.I request that you eliminate these inquiries from my credit report as they impede my ability to apply for loans and obtain credit. If you have any additional materials pertaining to this inquiry, please provide them. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",732
7970652,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"EQUIFAX, INC.",Web,TX,Yes,N/A,credit_reporting_issue,Credit reporting,In accordance with the fair Credit reporting act ( XXXX Account # XXXX ) ( XXXX Account # XXXX ( XXXX Account # XXXX ) ( XXXX  Accounts # XXXX ) ( XXXX Account # XXXX ) ( XXXX XXXX Account # XXXX ) has violated my rights!,"In accordance with the fair Credit reporting act ( XXXX Account # XXXX ) ( XXXX Account # XXXX ( XXXX Account # XXXX ) ( XXXX  Accounts # XXXX ) ( XXXX Account # XXXX ) ( XXXX XXXX Account # XXXX ) has violated my rights! and feel i am being taken advantage of 15 U.S.C 1681 section 602 A states I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : it also states a consumer reporting agency can not furnish an account without my written instructions!

In addition the law states : 15 U.S. Code 1681i ( A ) - Procedure in case of disputed accuracy ( A ) -If, after any reinvestigation under paragraph ( 1 ) of any information disputed by a consumer, an item of the information is found to be inaccurate or incomplete or can not be verified, the consumer reporting agency shall- ( i ) promptly delete that item of information from the file of the consumer, or modify that item of info",970
3401022,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Public record information inaccurate,Experian Information Solutions Inc.,Web,IL,Yes,N/A,credit_reporting_issue,credit report,to use information no longer listed on my current credit report.,"I applied for a XXXX Credit card and was denied credit. I immediately called the XXXX credit card department at XXXX and spoke with XXXX, got disconnected and later spoke with XXXX, both on XXXX XX/XX/2019, at XXXX XXXX   through XXXX XXXX I asked XXXX for the main reason of denial for the credit card. She stated I had an 18-year-old Bankruptcy against XXXX, that account in question was charged off through the bankruptcy as bad debt, however, XXXX XXXX XXXX recovered most of the money through federal subsidies. Furthermore, it is against the Consumer Credit Protection Act of 1968. to use information no longer listed on my current credit report. I told XXXX that I was only looking for a {$2500.00} credit limit and XXXX had no business using old records on file. It took me over ten years to clear the bankruptcy on file and that alone can not be used against me to deny me credit. My credit ",1277
8105787,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,GA,Yes,N/A,credit_reporting_issue,Inaccurate information,It seems that the Bureaus are reporting Inaccurate information resulting to lower my credit scores.,"I just obtained and reviewed the copy of my credit reports. It seems that the Bureaus are reporting Inaccurate information resulting to lower my credit scores. 

Please see the attached PDF file on this complaint. These are the letters I submitted to the involved Bureaus and my personal documents attached to it.",313
