complaint_id,product,sub_product,issue,sub_issue,company,channel,state,timely_response,consumer_disputed,reason_code,matched_phrase,sentence_snippet,narrative_preview,narrative_length
3445015,Mortgage,Conventional home mortgage,Trouble during payment process,,Ditech Financial LLC,Web,SC,Yes,N/A,delayed_response,ignored,On XX/XX/XXXX I received notice from one of Ditechs attorneys that I have no right to sue for Ditech misrepresenting money owed on my loan and/or previous violations of the FTC settlement which they have intentionally ignored and misrepresented amount of my loan plus reported these inaccurate amounts on my credit report.,"In XXXX, I owed {$38000.00} on my house when I left chapter XXXX bankruptcy. Under advice of my attorney, I did not reaffirm the loan due to house not being worth the loan value. Over the next couple of years, I tried to negotiate with XXXX  XXXX XXXX to keep my house. I filled out several loan modification applications and submitted them to the bank. In XXXX, I hired an attorney to assist with the loan modification process because of their constantly making me redo the application. That same year XXXX  XXXX XXXX foreclosed on my property and during the foreclosure they transferred the loan to Green Tree Servicing. My attorney submitted the application to Green Tree several times and in XXXX, they denied my application. My attorney advised me that Judge XXXX had setup a portal to monitor the banks handling of the process and I was forced back into bankruptcy. We had to make trial payment",4815
3697768,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"Convergent Resources, Inc.",Web,FL,Yes,N/A,delayed_response,months,"For months this company has been reporting inaccurate, unverifiable, erroneous things on my credit report and I am sick of it!!","HIS COMPANY HAS REPORTED A NEGATIVE AND INVALID COLLECTION ACCOUNT ON MY CREDIT REPORT CAUSING SEVERE DAMAGE TO MY CREDIT SCORE STOPING ME FROM PURCHASING A HOUSE AND I NEED IT REMOVED IMMEDIATELY! THIS ACCOUNT IS NOT MINE! 
THIS IS MY SECOND TIME CONTACTING THIS COMPANY AND THEY HAVE NOT FIXED THE ISSUE. For months this company has been reporting inaccurate, unverifiable, erroneous things on my credit report and I am sick of it!! This company is reporting NEGATIVE and INVALID information on my credit report and is severely affecting my credit score. The account information that this company is providing can not be proven because they do not have the original signed document saying that I owe them a debt which is A direct violation of my CIVIL RIGHTS according to the FCRA section 609. This company must remove their account from my credit reports immediately and permanently. A DELETION OF",2499
8139215,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"EQUIFAX, INC.",Web,LA,Yes,N/A,delayed_response,still have not,They still have not done so.,"I mailed out letters to the Credit Reporting Agencies ; Equifax, XXXX and XXXX to delete the following information from my credit reports. They still have not done so. XXXX was asked to delete the 8 inquiries listed on my consumer credit report, they are also reporting 3 derogatory accounts that have been sold to 3rd party debt collectors, I asked for this to be deleted, they are also reporting 2 late payments, I asked for this to be deleted, they still have not done so. Equifax was asked to delete the 17 hard inquiries from my credit profile, the 1 late payment they are reporting, the 3 derogatory items sold to 3rd party debt collectors, and they still have not done so. XXXX was asked to delete the late payments they are reporting on my consumer credit report, the 7 inquiries, the 3 derogatory accounts that have been sold to 3rd party debt collectors and the closed account for XXXX XXXX",6926
8117843,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,WELLS FARGO & COMPANY,Web,CA,Yes,N/A,delayed_response,WEEKS,A COUPLE OF WEEKS AGO THE PROVITIONAL CREDIT GIVEN WAS REVERSED AND I GET A NOTIFICATION FROM THE BANK THAT THE CLAIM WAS CLOSED AND DENIED BECAUSE I NEVER SENT THE INFORMATION REQUESTED.,"I OPENED A MERCHANT DISPUTE WITH MY BANK WELLS FARGO UNDER THE CLAIM ID XXXX, FOR MERCHANDIZE NOT RECEIVED. 
I RECEIVED THE DOCUMENTATION FROM THE BANK REQUESTING TO SING AND FILL IT. 
I SEND IT TO THEM BY EMAIL ON XX/XX/XXXX  WITH ALL THE INFORMATION REQUESTED. 
A COUPLE OF WEEKS AGO THE PROVITIONAL CREDIT GIVEN WAS REVERSED AND I GET A NOTIFICATION FROM THE BANK THAT THE CLAIM WAS CLOSED AND DENIED BECAUSE I NEVER SENT THE INFORMATION REQUESTED. 
ATTACHED GOES AGAIN THE INFORMATION REQUESTED THAT WAS SENT TO THE BANK IN THE DATE GIVEN. NOW MY ACCOUNT IS OVERDRAWN AND COULD BE CLOSED DUE THE BANK ISSUE PLEASE PROCEED WITH THE MERCHAND DISPUTE THANKS",658
8016465,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,GOLDMAN SACHS BANK USA,Web,CO,Yes,N/A,delayed_response,weeks,I am told I will receive communication via mail within 2 weeks-which has never happened.,"I had my Apple ( Goldman Sachs ) card hacked back in spring of 2023. I do not have the exact date as I no longer have access to account or email. When this occurred Apple Card contacted me to question the fraudulent charges that had been made. I confirmed that it was fraudulent. They then changed my online credit card #, but did not cancel the physical card, as I had possession of it. Later that day I received a call ( supposedly from apple card ) saying there had been more fraudulent charges. I gave them the information they requested, until they asked for my entire social security # and it just started to seem fishy, at which time I hung up. I called Apple Card to see if that call was actually them and they had no record of a call being made to me. I then told the apple customer service people exactly what had transpired. I had assumed at this time my card and account were closed and c",3569
8002001,"Money transfer, virtual currency, or money service",International money transfer,Other transaction problem,,WELLS FARGO & COMPANY,Web,,Yes,N/A,delayed_response,weeks,The first transaction failed after bouncing around for XXXX weeks.,"This is the second attempt that has been made to move money from my brother 's bank acct at Wells Fargo XXXX XXXX XXXX XXXX, Virginia. The first transaction failed after bouncing around for XXXX weeks. The bank told me that they could not transfer USD to XXXX because my bank would not accept USD ( this despite having received several bank transfers without issue from other banks ). They instructed that we needed an intermediary bank. So, I arranged for an intermediary bank so that the funds could be sent USD to USD. XXXX details were provided to the employees at the bank, yet they sent the funds at XXXX. This error, once the funds had to be changed back into USD, equates to a loss of {$3700.00}. We have asked them to correct this error, but have had no response.",772
7997511,Checking or savings account,Checking account,Managing an account,Funds not handled or disbursed as instructed,JPMORGAN CHASE & CO.,Web,KY,Yes,N/A,delayed_response,waited,"They waited until I made a cash deposit into 2nd account, then went in and moved the transfer back to the first account to cover their overdraft of reversing the dispute claim.","On XX/XX/XXXX at XXXX, I transferred {$180.00} of available funds from one of my checking accounts to the other. This transaction was completed. At some point after this, the bank reversed a claim of dispute and debited my first account for {$260.00}. Then on XX/XX/XXXX, the transfer made by me was reversed and the money removed from the 2nd account, and placed back into the first account because the claim reversal caused an overdraft. I contacted the bank, and was told the transfer I initiated never completed which is a lie. They waited until I made a cash deposit into 2nd account, then went in and moved the transfer back to the first account to cover their overdraft of reversing the dispute claim. I find this type of behavior to be wrong and has left me with no money.",780
3355854,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,"Tribal Lending Enterprise, Inc.",Web,TX,Yes,N/A,delayed_response,months,Approximately three months ago ( i.e.,"Approximately three months ago ( i.e. XX/XX/2019 ) I began receiving SMS text messages suggesting that I had a delinquent loan. The messages were vague, but after receiving several of them, I called the number from which they originated. The person at the other end identified herself as an employee of Golden Valley Lending, and asserted I had taken a {$700.00} loan from the company she represented. I had, until that day, never heard of Golden Valley Lending, and definitely had not taken a {$700.00} loan from anyone. I said as much and, after a short exchange, determined the call was a phishing scam, and hung up. 

Since that time, I have received not less than 8 calls from Golden Valley Lending per week, originating from numerous different phone numbers. The most recent two are : * (  XXXX ) XXXX * ( XXXX ) XXXX I've blacklisted each new number as I've received the calls, which all adher",2262
3480800,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,NY,Yes,N/A,delayed_response,ignored,"i am filing this complaint because XXXX, transunion, and XXXXhas ignored my request to provide me with the documents that their company has on file that was used to verify the accounts i disputed.","i am filing this complaint because XXXX, transunion, and XXXXhas ignored my request to provide me with the documents that their company has on file that was used to verify the accounts i disputed. being that they have gone past the 30 day mark and can not verify these account under section 611 ( 5 ) ( a ) of the fcra - they are required to promptly delete all information which can not be verified that i have disputed. please resolve this issue immediately.",460
8182281,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Personal information incorrect,Experian Information Solutions Inc.,Web,TX,Yes,N/A,delayed_response,No response,"Please see your notice Last Mailed Certified XX/XX/ Todays date - Friday, XXXX XXXX XXXXXXXX No response.","Inaccurate address reported, Inaccurate names reported. Continuous validation of debt requested to include original debt owed, contract agreement, verification of identity on file, interest attached to debt, contractual agreement signatures by me. Proof of copy of Identification due to Identity theft, Inaccurate reporting with co loan without my consent. I requested these thing be mailed to me and upon Debt validation several times and advised I would discuss the debt being reported and possible resolution. They could not mail me anything for debt validation because they have no accurate new information on file. Please see your notice Last Mailed Certified XX/XX/ Todays date - Friday, XXXX XXXX XXXXXXXX No response. Please remove from Experian, XXXX, and XXXX. 


The CFPBs debt collection rule requires debt collectors to provide you with certain information about your debt, known as vali",1957
