complaint_id,product,sub_product,issue,sub_issue,company,state,channel,timely_response,consumer_disputed,date_received,compliance_signal,narrative_length,narrative_preview
8076291,Mortgage,VA mortgage,Struggling to pay mortgage,"Applying for or obtaining a modification, forbearance plan, short sale, or deed-in-lieu","PENNYMAC LOAN SERVICES, LLC.",FL,Web,Yes,N/A,2023-12-29,financial_harm,2346,"I requested help with my mortgage in XXXX of this year and I never received a b5 letter. I also submitted an information request for the following information : Please provide a comprehensive and detailed breakdown of various charges and fees being charged to my loan account, including but not limited to : 1. Escrow advance charges 2. Foreclosure fees and costs 3. Property preservation activities and associated costs. Please define and clarify what was done.

4. Valuation details and frequency 5. Attorney fees Force-Placed Insurance : Please confirm whether any force-placed insurance was placed on my property since you began servicing my loan. If so, please provide evidence that you complied with the requirements of Section 1024.37 of Regulation X, including the provision of at least two written notices before charging me for such insurance.

Early Intervention with Delinquent Borrowers : Please provide proof of your compliance with the early intervention requirements under Section 1024.39 of Regulation X. This should include evidence of your efforts to establish live contact with me by the 36th day of my delinquency and the written notice provided to me by the 45th day of my delin"
3412936,Checking or savings account,Checking account,Closing an account,Fees charged for closing account,PNC Bank N.A.,MI,Web,Yes,N/A,2019-10-21,financial_harm,699,"I closed my PNC Bank account on XX/XX/2018 and 2 employees both told me in person that everything was good and my account would close out i didnt need to do anything but a few days ago i get a bill from a debt collector stating i owe XXXX and i never got any letters or anything from pnc which of course she claims she sent many of them. She wouldnt listen to me on the phone and if i owoed money from 2 months before i closed my account why wasnt i notified of this when closing said account? doesnt make any sense to me but it should be employee error not mine. This has been a year ago also so why am i just now being notified after that amount of time, to me its just weird and doesnt make sense"
8291203,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,CA,Web,Yes,N/A,2024-02-06,financial_harm,264,"Entries are unauthorized and reporting as past due XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Violations of 15 USC 1602 ( p ), 15 USC 1666b ( a ), 15 USC 1681a ( d ) ( 2 ) ( A ) ( i ), 15 USC 1681s-2 ( a ) ( 7 ) ( A ) ( i ), 15 USC 1602 ( k )"
3481208,Debt collection,Credit card debt,Written notification about debt,Didn't receive enough information to verify debt,ENCORE CAPITAL GROUP INC.,MA,Web,Yes,N/A,2019-12-30,financial_harm,2985,"Happy Holidays ; Please remove this unknown collection account from all the major credit bureaus for failure to provide me the required documents as requested per the laws under FDCPA. A Months ago, I initiated a dispute with the MidlandMCM directly asking for all the documents and disclosure so I can validate the accuracy of this alleged debt, but they failed to provide me ALL the required documents. But after reading several cases online, where the company was sued for a similar situation, and specifically a case of "" State of Texas vs. Midland Funding and their other entities and group '', where the plaintiff asked for documents and they failed to provide them. The AG outlined what the plaintiff was asking for and their nature of business. Please see detail below : 9.3 The electronic portfolios of these charged off accounts acquired by Defendants contain limited categories of information about the debt. Typically, Defendants do not acquire the underlying credit agreements, payment history, or statements ( or "" media '' ) but retain the right to purchase the documentation from the original creditor at a later date. 9.4 Defendants ' collection activities prefer "" efficiency '' and"
7930019,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"EQUIFAX, INC.",CA,Web,Yes,N/A,2023-11-30,financial_harm,1243,"This letter is to formally advise you that I believe your company has violated several of my consumer rights. Specifically, you failed to validate a debt at my request, which is a FDCPA violation and you continued to report a disputed debt to the Credit Bureaus : another FCRA violation. Not only have you ignored my prior requests for validation of debt but you continue to report this debt to the credit bureaus causing damage to my character. This letter will again request that you follow the FDCPA and please provide the following validation of debt request : -Proof of your right to own/collect this alleged debt -Balance claimed including all fees, interest and penalties -Contract bearing my personal signature As you may be aware, "" Estoppel by Silence '' legally means that you had a duty to speak but failed to do so therefore, that must mean you agree with me that this debt is false. I will use the Estoppel in my defense. I expect to receive the proof requested above within 15 days of this letter. 
Should you again ignore my request for validation of debt I reserve the right to sue your company for violations of my consumer rights as specified under both the FDCPA and the FCRA. I m"
3411442,Checking or savings account,Other banking product or service,Managing an account,Fee problem,MoneyLion Inc.,GA,Web,No,N/A,2019-10-20,financial_harm,1168,"I was overcharged for my moneylion plus membership for XXXX, XXXX, and XXXX in the amount of {$79.00} each month with {$50.00} put into an Investment Account. 
I have since paid {$19.00} for XXXX, XXXX, XXXX, and XXXX. 
My most recent payment on XX/XX/2019 has been successfully deducted from my Moneylion checking account and it has not been applied to my membership and it says my membership is on hold although they have been successfully paid days ago.

My money, which is in my investment account, {$260.00}, the company refuses to let me withdraw my money and close this Investment account which is what I would like to do. I was also charged an admin fee of {$1.00} on XX/XX/2019. 

I was also advised on a recorded line that the lionshare rewards are supposeed to be deposited into my bank account, but they have put the funds into the investment account that they are not letting me withdraw from in the amounts of {$1.00}, {$1.00}, and {$2.00}. 
Whenerver I attempt to reach them by phone, I receive long hold times and almost never reach anyone. I have been told I would receive a call back and not been called back. this company has the worst service ever."
3487402,Debt collection,Other debt,Written notification about debt,Didn't receive enough information to verify debt,"CCS Financial Services, Inc.",MA,Web,Yes,N/A,2020-01-07,financial_harm,1354,"I NEED HELP PLEASE! I have BEEN TRYING FOR MONTHS NOW! I have disputed this item with the credit reporting agency and they reported you confirmed the account as valid. I honestly do not believe in ever have any relationship with this collection agency or original creditor. Also, there are several inaccuracies with this account the way it's reporting and that's a total violation of FCRA and FDCPA laws and regulations. In a good faith effort to resolve the matter amicably, I must demand proof of this debt, specifically the alleged contract or other instrument bearing my signature, as well as proof of your authority in this matter. Absent such proof, you must correct any erroneous reports of this past debt as mine. I am writing to request that you please provide the following information : 1. Please evidence your authorization under 15 USC 1692 ( e ) and 15 USC 1692 ( f ) in this alleged matter. 2. What is your authorization of law for your collection of information? 3. What is your authorization of law for your collection of this alleged debt? 4. Please evidence your authorization to do business or operate in this state. 5. Please evidence proof of the alleged debt, including the all"
8043343,Debt collection,Credit card debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,ENCORE CAPITAL GROUP INC.,PA,Web,Yes,N/A,2023-12-21,financial_harm,381,The company further harassed me about the debt without providing the contract of the original debt to show that I owed the debt. Their fear tactics with a lawsuit has been going on for roughly six months. Never once have they granted me the contract or into details about the debt. I feel as though they violated my consumer rights and have been harassing me for the last 6 months.
3265600,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,Experian Information Solutions Inc.,GA,Web,Yes,N/A,2019-06-05,financial_harm,2465,"Although I am checking for and addressing missing and or deficient aspects of REPORTING COMPLIANCES and not contesting any debt of compliant nature, I should make you aware that since unlawful reporting transitions collection into an equally not complaint circumstance. Being still yet not validated by document fact in compliance to requisite standards, it is to be announced yet again that legally I have no knowledge of the validity of the alleged claims of delinquency and or derogatory nature, nor of the certifiably compliant matter to either any of its collection attempts and or its reporting despite previous consumer filed composed complaints checking for each. Might it be known, especially shall I elect to take this matter up to a civil court, any debt and or derogatory claim must be pursued ( particularly for collection ) in a very defined and precisely compliant and physically verifiable or certifiable manner as detailed in the requisite obeyed federal and state collection and reporting regulations associated with any of the above noted said claim ( s ) to include but not limited to the FCBA, FCRA, HIPAA PRIVACY RULE, FACTA, FDCPA and TCPA, etc.  ADDITIONALLY, if an entity act"
3458322,Mortgage,FHA mortgage,Trouble during payment process,,"LD Holdings Group, LLC",CT,Web,Yes,N/A,2019-12-04,financial_harm,399,On XX/XX/19 a payment through ACH was scheduled today is now XX/XX/19 to my knowledge the mortgage refused said payment my bank provided me with a transmittle form showing the mortgage refused payment stating this fact putting me further behind amd mortgage now states they will not accept anymore payments on my behalf and want to move forward with foreclosure The bank im referencing is Loan Depot
