value,count
28786,441
91950,441
93726,441
94122,441
951XX,441
20715,440
46323,440
46324,440
75230,440
93612,440
014XX,439
21136,439
32773,439
40218,439
60087,439
64130,439
75075,439
75088,439
80134,439
94589,439
952XX,439
19454,438
29340,438
32724,438
55408,438
71112,438
89002,438
91350,438
91744,438
91942,438
95662,438
33484,437
39759,437
85053,437
87120,437
90032,437
928XX,437
21801,436
36608,436
47130,436
48044,436
78501,436
90803,436
95842,436
11552,435
21401,435
32935,435
44108,435
70809,435
77020,435
77598,435
805XX,435
91302,435
06810,434
108XX,434
17602,434
37217,434
91042,434
91104,434
02155,433
27107,433
27530,433
28451,433
29020,433
30904,433
38002,433
91101,433
29412,432
439XX,432
48335,432
069XX,431
11106,431
30189,431
92056,431
93312,431
95377,431
07008,430
10128,430
31525,430
33626,430
455XX,430
458XX,430
90057,430
92103,430
02895,429
11772,429
629XX,429
77706,429
95376,429
07110,428
10024,428
36701,428
39047,428
446XX,428
75224,428
98003,428
15108,427
23451,427
33156,427
46201,427
48439,427
85033,426
91752,426
92504,426
87507,425
02128,424
20705,424
29403,424
45040,424
507XX,424
94606,424
20109,423
20148,423
22309,423
23228,423
39208,423
77303,423
77523,423
95648,423
39120,422
43123,422
70454,422
77018,422
94603,422
01702,421
08401,421
103XX,421
33764,421
43201,421
63116,421
75160,421
85395,421
23059,420
23238,420
34652,420
39206,420
45069,420
85234,420
91789,420
95340,420
06514,419
77060,419
78723,419
915XX,419
95350,419
98034,419
10704,418
17104,418
33331,418
46375,418
79762,418
92377,418
92614,418
95330,418
20784,417
226XX,417
27613,417
43026,417
60423,417
70592,417
79424,417
864XX,417
14609,416
28001,416
33830,416
34691,416
60445,416
76135,416
76226,416
27707,415
32137,415
60108,415
60139,415
78729,415
84081,415
23502,414
44143,414
46208,414
11758,413
15136,413
21212,413
23701,413
241XX,413
35209,413
38133,413
85013,413
92344,413
08831,412
12553,412
32205,412
33756,412
80022,412
91504,412
06610,411
178XX,411
60502,411
78217,411
92508,411
06040,410
11354,410
17109,410
24541,410
44134,410
71107,410
78043,410
95037,410
02122,409
08002,409
11554,409
20017,409
33870,409
35226,409
36575,409
44130,409
78414,409
90260,409
07094,408
19103,408
21001,408
791XX,408
93304,408
96818,408
11729,407
18017,407
19147,407
44112,407
563XX,407
92591,407
02908,406
06042,406
48503,406
45014,405
45417,405
46060,405
85015,405
85298,405
88240,405
92026,405
93560,405
11784,404
17111,404
23832,404
27801,404
77301,404
85020,404
85204,404
90242,404
90303,404
95122,404
19125,403
77705,403
84119,403
92506,403
18201,402
219XX,402
30071,402
31069,402
32967,402
85085,402
104XX,401
11215,401
39213,401
403XX,401
77024,401
92692,401
95826,401
96815,401
07508,400
08302,400
44107,400
46032,400
90717,400
06704,399
06705,399
32404,399
35173,399
60031,399
74133,399
95348,399
01960,398
19067,398
33618,398
43231,398
48124,398
70043,398
19007,397
21122,397
29687,397
49508,397
75077,397
78250,397
02149,396
22405,396
33572,396
38701,396
790XX,396
92117,396
12603,395
32257,395
36303,395
39110,395
80011,395
85048,395
94619,395
01902,394
07010,394
27705,394
43607,394
62040,394
63301,394
85009,394
92129,394
95307,394
30115,393
46112,393
48340,393
78610,393
19601,392
72315,392
789XX,392
92806,392
33431,391
46835,391
48167,391
55369,391
70460,391
90048,391
92585,391
92651,391
19973,390
22201,390
30306,390
33990,390
60559,390
91722,390
02904,389
06112,389
28326,389
43614,389
55337,389
79932,389
92780,389
08332,388
20877,388
21804,388
27591,388
44077,388
60201,388
32311,387
537XX,387
60169,387
91702,387
11237,386
11570,386
55303,386
71854,386
92570,386
92583,386
94107,386
20876,385
243XX,385
655XX,385
92071,385
21921,384
28211,384
28412,384
31763,384
40515,384
466XX,384
78229,384
85302,384
85706,384
10703,383
33919,383
70360,383
92708,383
93245,383
98031,383
07042,382
11779,382
21702,382
44113,382
63366,382
22031,381
60632,381
84115,381
85207,381
91201,381
940XX,381
06053,380
32940,380
46342,380
72712,380
90620,380
95628,380
28209,379
46220,379
90064,379
90806,379
95610,379
10003,378
32084,378
43209,378
80017,378
85017,378
94607,378
07030,377
08360,377
20886,377
22079,377
36830,377
48080,377
91411,377
98052,377
28562,376
32526,376
43235,376
62234,376
78717,376
94109,376
34608,375
43004,375
79925,375
91737,375
94536,375
43016,374
46222,374
60654,374
78221,374
80205,374
92311,374
95020,374
11757,373
32905,373
33184,373
376XX,373
46037,373
77385,373
87114,373
89120,373
90033,373
94803,373
073XX,372
15068,372
21043,372
28226,372
53711,372
80239,372
810XX,372
85206,372
92308,372
27260,371
35160,371
549XX,371
242XX,370
32962,370
33803,370
48601,370
656XX,370
90640,370
91915,370
92240,370
92691,370
11735,369
20783,369
21214,369
22003,369
93291,369
08109,368
08611,368
22312,368
34116,368
43613,368
48126,368
613XX,368
77803,368
79423,368
859XX,368
91501,368
22401,367
33541,366
48236,366
48505,366
90505,366
92122,366
21228,365
31721,365
32086,365
39056,365
75771,365
77080,365
78213,365
79761,365
80204,365
94102,365
95356,365
06512,364
20120,364
20814,364
23220,364
32757,364
33406,364
63119,364
650XX,364
90601,364
95820,364
06770,363
45224,363
78840,363
80220,363
80247,363
84020,363
91107,363
35205,362
40517,362
75702,362
76504,362
80014,362
90713,362
94303,362
10710,361
28352,361
32571,361
38401,361
46219,361
48326,361
90022,361
93033,361
94546,361
29455,360
70605,360
90049,360
02130,359
06708,359
33809,359
78589,359
85014,359
91505,359
916XX,359
10552,358
19115,358
22102,358
48212,358
60120,358
871XX,358
06854,357
11102,357
62002,357
92840,357
93638,357
11704,356
64118,356
89506,356
92337,356
98118,356
23453,355
27217,355
32506,355
32958,355
72015,355
75048,355
78228,355
94582,355
95821,355
98023,355
39564,354
577XX,354
755XX,354
23060,353
29801,353
35811,353
55411,353
989XX,353
06604,352
21701,352
38801,352
496XX,352
55106,352
75703,352
85335,352
92807,352
11743,351
124XX,351
33907,351
48310,351
77511,351
89502,351
90222,351
29550,350
307XX,350
60544,350
60659,350
85023,350
92102,350
92127,350
933XX,350
01108,349
07731,349
181XX,349
29360,349
30120,349
36301,349
78209,349
78216,349
838XX,349
92110,349
06457,348
08043,348
20854,348
35404,348
45044,348
78521,348
85396,348
92649,348
29341,347
31605,347
37174,347
60099,347
77345,347
92802,347
32901,346
34639,346
400XX,346
63111,346
78724,346
83642,346
90062,346
02703,345
10566,345
92019,345
95125,345
07410,344
14606,344
27401,344
38053,344
617XX,344
77590,344
78132,344
79701,344
80231,344
93702,344
20740,343
29617,343
29745,343
385XX,343
55379,343
60432,343
76544,343
84015,343
85257,343
98133,343
02131,342
128XX,342
14228,342
21703,342
30655,342
501XX,342
60193,342
82001,342
90042,342
93703,342
07740,341
08096,341
08859,341
28270,341
28590,341
32803,341
60160,341
71201,341
85382,341
92253,341
94611,341
32789,340
48125,340
55412,340
75214,340
79416,340
06118,339
14225,339
17601,339
35007,339
44139,339
45215,339
71270,339
78582,339
93710,339
07424,338
12180,338
22901,338
32780,338
48183,338
60123,338
66441,338
70115,338
94080,338
01109,337
11222,337
33825,337
33936,337
36092,337
494XX,337
95336,337
01832,336
27455,336
46227,336
91791,336
95126,336
02139,335
19063,335
29650,335
39532,335
85024,335
91745,335
95355,335
02920,334
21209,334
23235,334
29644,334
46804,334
55443,334
94610,334
01604,333
17046,333
29466,333
34997,333
46038,333
55112,333
73160,333
75060,333
90744,333
92606,333
31794,332
34476,332
42701,332
60505,332
60630,332
91770,332
95363,332
01602,331
01830,331
34653,331
64151,331
73505,331
91801,331
32043,330
37363,330
39209,330
46360,330
60467,330
70364,330
80634,330
80920,330
276XX,329
28056,329
28144,329
37221,329
44035,329
60585,329
633XX,329
77022,329
07013,328
11357,328
22033,328
27360,328
27534,328
27896,328
43015,328
53221,328
61820,328
92113,328
95815,328
10309,327
14850,327
29588,327
33547,327
75501,327
76117,327
80918,327
98032,327
08844,326
22206,326
27606,326
33801,326
34209,326
37064,326
48067,326
91748,326
92111,326
96707,326
07040,325
33770,325
384XX,325
61109,325
628XX,325
72404,325
971XX,325
98682,325
735XX,324
76012,324
78201,324
78747,324
90638,324
91351,324
92037,324
20901,323
28328,323
39305,323
71106,323
77632,323
80817,323
94014,323
97007,323
06051,322
15010,322
32177,322
85388,322
92131,322
98374,322
17055,321
34606,321
40291,321
79905,321
85209,321
92040,321
92054,321
07652,320
11801,320
34109,320
847XX,320
908XX,320
29464,319
48104,319
78232,319
78239,319
79764,319
79904,319
92220,319
92604,319
94086,319
94602,319
957XX,319
11427,318
35805,318
40229,318
539XX,318
61107,318
85205,318
98004,318
98109,318
07747,317
139XX,317
23236,317
309XX,317
76513,317
85050,317
33709,316
43054,316
48312,316
55044,316
76712,316
91355,316
92028,316
92782,316
97124,316
98516,316
01420,315
20010,315
35603,315
46383,315
497XX,315
61822,315
62703,315
76109,315
76182,315
77061,315
77502,315
78227,315
97006,315
02919,314
07071,314
31326,314
44256,314
46236,314
670XX,314
76209,314
76708,314
77092,314
931XX,314
042XX,313
08105,313
27540,313
29910,313
32129,313
33813,313
34112,313
34266,313
34293,313
73012,313
92084,313
94066,313
06614,312
07090,312
08205,312
29303,312
34655,312
37072,312
37918,312
39180,312
46322,312
61604,312
904XX,312
92688,312
08857,311
15216,311
27302,311
37087,311
546XX,311
62702,311
70517,311
80910,311
85746,311
90272,311
93662,311
01801,310
01851,310
07407,310
27614,310
559XX,310
625XX,310
78621,310
87124,310
90680,310
06106,309
07728,309
23227,309
27502,309
30605,309
32826,309
77506,309
78852,309
94547,309
95204,309
02760,308
17042,308
29527,308
34957,308
48317,308
661XX,308
71220,308
85233,308
90230,308
93292,308
94596,308
95111,308
97217,308
08234,307
32779,307
33901,307
93704,307
94566,307
28012,306
28031,306
45251,306
60532,306
80207,306
92123,306
97229,306
98056,306
11001,305
90275,305
91941,305
92064,305
02072,304
08723,304
133XX,304
222XX,304
24112,304
28150,304
32751,304
33446,304
33556,304
40299,304
44135,304
46825,304
55124,304
75042,304
79915,304
91006,304
92027,304
95008,304
95212,304
95961,304
98058,304
11364,303
11787,303
14621,303
20008,303
20016,303
40324,303
541XX,303
55119,303
784XX,303
78759,303
85719,303
90007,303
94560,303
10310,302
49507,302
58103,302
75605,302
78727,302
94539,302
98408,302
131XX,301
15205,301
87144,301
90808,301
28504,300
28601,300
40220,300
41042,300
55117,300
80112,300
91768,300
92078,300
92663,300
95014,300
14211,299
14226,299
30165,299
465XX,299
502XX,299
666XX,299
90715,299
96786,299
96816,299
22310,298
28806,298
30504,298
46202,298
48146,298
55125,298
60046,298
60076,298
73110,298
73120,298
84074,298
92058,298
98444,298
30233,297
55429,297
55448,297
60103,297
70503,297
90291,297
95688,297
975XX,297
99507,297
08075,296
20879,296
28403,296
29577,296
33714,296
33755,296
35124,296
92373,296
92629,296
043XX,295
53705,295
85705,295
95148,295
11228,294
28401,294
33487,294
53144,294
60538,294
70363,294
77478,294
94087,294
95841,294
95945,294
03103,293
138XX,293
288XX,293
30161,293
36330,293
91362,293
92595,293
03060,292
10562,292
18015,292
19061,292
34982,292
36801,292
60459,292
764XX,292
78752,292
80219,292
95129,292
11361,291
17404,291
25801,291
29642,291
30549,291
38301,291
39194,291
52404,291
55901,291
80237,291
84095,291
98661,291
06605,290
724XX,290
76009,290
91340,290
91354,290
91750,290
92173,290
96720,290
19808,289
36526,289
43085,289
62526,289
85086,289
92277,289
92831,289
93725,289
94134,289
02720,288
18951,288
28120,288
31520,288
46321,288
53220,288
80211,288
84041,288
84107,288
90810,288
92008,288
92025,288
92405,288
17403,287
29841,287
34683,287
39042,287
60540,287
79902,287
92703,287
94523,287
06451,286
28625,286
32926,286
43119,286
67207,286
84770,286
85711,286
92354,286
93003,286
227XX,285
46530,285
48602,285
55311,285
61832,285
66104,285
88310,285
95762,285
179XX,284
33327,284
38104,284
469XX,284
60655,284
61821,284
94555,284
19963,283
22406,283
27870,283
70003,283
80020,283
84044,283
84123,283
85374,283
92081,283
993XX,283
01104,282
07901,282
11561,282
44512,282
470XX,282
479XX,282
63304,282
843XX,282
85258,282
92011,282
06066,281
62901,281
78046,281
795XX,281
85742,281
87109,281
95660,281
98103,281
08610,280
11378,280
32119,280
37214,280
433XX,280
48375,280
485XX,280
70706,280
78746,280
92116,280
96797,280
98391,280
06492,279
08648,279
08879,279
18104,279
24019,279
28677,279
32806,279
48088,279
59105,279
78596,279
85248,279
93277,279
01040,278
18052,278
32536,278
32763,278
39501,278
72019,278
91790,278
98375,278
19382,277
40211,277
48911,277
77316,277
80229,277
91763,277
007XX,276
02150,276
34667,276
382XX,276
61761,276
85031,276
89431,276
90065,276
91016,276
92120,276
93004,276
94553,276
95746,276
141XX,275
33811,275
43035,275
78602,275
85364,275
94117,275
20155,274
33430,274
60090,274
73112,274
92832,274
93314,274
08724,273
17701,273
34601,273
64014,273
84118,273
95380,273
01854,272
271XX,272
27889,272
32796,272
43220,272
48315,272
55104,272
79605,272
79706,272
85710,272
930XX,272
93906,272
94114,272
02740,271
02861,271
02910,271
143XX,271
24502,271
32309,271
32726,271
48390,271
78539,271
87121,271
91103,271
95050,271
049XX,270
11566,270
134XX,270
23237,270
27205,270
28112,270
32507,270
32713,270
33558,270
44087,270
78210,270
95131,270
10583,269
18974,269
19335,269
27511,269
28104,269
32547,269
34231,269
40258,269
48093,269
60656,269
73162,269
78238,269
80504,269
84120,269
90403,269
98012,269
98125,269
06108,268
07650,268
29906,268
32168,268
34119,268
53217,268
557XX,268
61103,268
73135,268
78550,268
977XX,268
10471,267
20815,267
27295,267
27565,267
29625,267
34698,267
43017,267
46241,267
53214,267
55406,267
63125,267
77630,267
91030,267
95116,267
95138,267
95691,267
97266,267
12590,266
27701,266
33771,266
427XX,266
53704,266
77355,266
98087,266
164XX,265
18045,265
224XX,265
29410,265
30028,265
434XX,265
48073,265
60014,265
76114,265
77414,265
78214,265
90274,265
98499,265
01453,264
27104,264
30606,264
32223,264
32606,264
33496,264
615XX,264
626XX,264
78731,264
92860,264
93305,264
98092,264
98208,264
13090,263
21742,263
24501,263
27320,263
32720,263
48331,263
77340,263
91945,263
94510,263
10028,262
10954,262
11103,262
18940,262
23111,262
24017,262
645XX,262
65201,262
75229,262
808XX,262
91106,262
92139,262
06460,261
11358,261
11542,261
18914,261
27516,261
63141,261
92679,261
94043,261
37920,260
63010,260
647XX,260
70433,260
84106,260
85213,260
94010,260
94025,260
11710,259
14616,259
166XX,259
20105,259
244XX,259
27292,259
78537,259
98006,259
98373,259
32778,258
48108,258
500XX,258
60560,258
83646,258
92399,258
92821,258
97123,258
08003,257
08540,257
08820,257
21114,257
27577,257
27886,257
34142,257
53219,257
548XX,257
60068,257
70785,257
748XX,257
85635,257
92203,257
06095,256
53590,256
77356,256
79109,256
91784,256
174XX,255
48220,255
77381,255
77904,255
92128,255
92211,255
98115,255
98367,255
10308,254
39702,254
55128,254
64114,254
652XX,254
80909,254
90710,254
90732,254
94609,254
97206,254
01906,253
02026,253
33405,253
35613,253
48917,253
78006,253
78418,253
815XX,253
84404,253
94801,253
044XX,252
08080,252
116XX,252
44306,252
73170,252
76208,252
91320,252
37027,251
40245,251
44060,251
44212,251
44305,251
478XX,251
55433,251
55446,251
64083,251
718XX,251
75041,251
80010,251
84065,251
95901,251
98033,251
02135,250
21030,250
21042,250
28803,250
32539,250
38138,250
61614,250
743XX,250
814XX,250
87505,250
90039,250
95301,250
037XX,249
17050,249
35010,249
46168,249
477XX,249
48313,249
60004,249
680XX,249
80906,249
93940,249
08520,248
14221,248
23834,248
43223,248
45342,248
46074,248
46237,248
46902,248
48532,248
92411,248
94015,248
10021,247
163XX,247
19064,247
20817,247
27253,247
35802,247
60189,247
71105,247
79763,247
85304,247
87111,247
90063,247
93635,247
07866,246
15132,246
29532,246
33596,246
43065,246
44094,246
48506,246
627XX,246
92264,246
95818,246
07751,245
29646,245
35601,245
48910,245
58801,245
914XX,245
91732,245
94503,245
14624,244
20165,244
22041,244
22315,244
32566,244
40272,244
77840,244
90605,244
92843,244
97223,244
98445,244
08028,243
19810,243
31015,243
32401,243
43055,243
48823,243
61704,243
62521,243
65203,243
80501,243
90240,243
90304,243
11416,242
19460,242
33781,242
33913,242
43606,242
48307,242
60018,242
73034,242
78586,242
80922,242
94063,242
95482,242
98116,242
07726,241
18360,241
421XX,241
55404,241
70123,241
77901,241
90023,241
91360,241
93280,241
93637,241
08865,240
30277,240
34104,240
34286,240
42301,240
60067,240
66109,240
75218,240
78503,240
84003,240
85019,240
95991,240
98198,240
03102,239
06082,239
11370,239
154XX,239
37923,239
719XX,239
80021,239
90606,239
95765,239
10956,238
22015,238
29649,238
46256,238
60448,238
65807,238
90404,238
98055,238
11720,237
12533,237
32750,237
33860,237
83704,237
96817,237
997XX,237
177XX,236
29640,236
33782,236
411XX,236
489XX,236
66061,236
77076,236
79703,236
92694,236
94580,236
95128,236
02048,235
10038,235
19047,235
20111,235
21227,235
32563,235
32570,235
45236,235
47909,235
570XX,235
60174,235
77062,235
84070,235
87112,235
911XX,235
92672,235
93555,235
98001,235
98107,235
14150,234
160XX,234
29170,234
32003,234
38122,234
63021,234
72761,234
77382,234
78750,234
84121,234
88011,234
91321,234
91780,234
92602,234
92841,234
94583,234
13440,233
32533,233
47150,233
48154,233
60137,233
85208,233
86314,233
94518,233
94550,233
14223,232
27537,232
44095,232
449XX,232
48045,232
671XX,232
80206,232
80602,232
89521,232
906XX,232
91214,232
92107,232
93257,232
01605,231
02472,231
06851,231
08005,231
11040,231
123XX,231
29108,231
29201,231
45431,231
45458,231
50315,231
60181,231
68127,231
80923,231
882XX,231
92870,231
93035,231
93436,231
94403,231
98409,231
056XX,230
17331,230
19604,230
22101,230
32250,230
40505,230
487XX,230
64155,230
76201,230
77536,230
80233,230
91361,230
95391,230
99208,230
14612,229
32312,229
34482,229
46217,229
58201,229
82801,229
89509,229
92701,229
11356,228
19355,228
44136,228
48195,228
70808,228
95661,228
98204,228
06484,227
11105,227
19053,227
37412,227
48071,227
80111,227
80911,227
15301,226
20169,226
25404,226
40601,226
44129,226
526XX,226
73401,226
92868,226
961XX,226
98404,226
98503,226
06360,225
147XX,225
48101,225
60124,225
729XX,225
78413,225
83686,225
91711,225
95121,225
006XX,224
10010,224
30286,224
35803,224
46514,224
53511,224
76126,224
77535,224
93446,224
02864,223
129XX,223
13088,223
20646,223
33486,223
33710,223
37830,223
38117,223
60074,223
63043,223
63122,223
74008,223
75602,223
75604,223
85730,223
90604,223
94085,223
98059,223
99301,223
19606,222
29609,222
30121,222
32609,222
33908,222
48047,222
624XX,222
77017,222
78212,222
78224,222
833XX,222
85203,222
94521,222
01013,221
15227,221
29169,221
60565,221
66502,221
73072,221
92124,221
94404,221
98203,221
06114,220
30601,220
33917,220
34689,220
37921,220
422XX,220
53154,220
60010,220
60525,220
80241,220
91792,220
013XX,219
01826,219
19083,219
33935,219
40475,219
60187,219
638XX,219
77320,219
77551,219
78148,219
78749,219
93010,219
94545,219
94928,219
19087,218
21403,218
34974,218
41005,218
42101,218
45013,218
46311,218
53215,218
749XX,218
78617,218
80123,218
84045,218
87106,218
92065,218
95124,218
97702,218
98466,218
988XX,218
10065,217
19966,217
28147,217
40223,217
49503,217
53402,217
648XX,217
75220,217
85303,217
95351,217
08055,216
27712,216
32960,216
60101,216
67217,216
73071,216
77586,216
78410,216
788XX,216
95118,216
95240,216
978XX,216
01752,215
12065,215
153XX,215
28379,215
31548,215
50266,215
71730,215
85268,215
91007,215
97233,215
02360,214
06611,214
11731,214
13210,214
21157,214
22042,214
37343,214
48135,214
53403,214
64055,214
80917,214
85704,214
92069,214
94040,214
041XX,213
11414,213
13208,213
33967,213
34654,213
60110,213
77005,213
80401,213
93955,213
94551,213
98270,213
996XX,213
11572,212
22182,212
34287,212
55432,212
77550,212
78242,212
80228,212
80238,212
85310,212
89048,212
91724,212
91776,212
06033,211
08050,211
12208,211
22701,211
36067,211
48036,211
48314,211
95132,211
07080,210
07960,210
14094,210
20007,210
20737,210
29036,210
34212,210
37206,210
55428,210
58104,210
68134,210
80210,210
80226,210
84088,210
94558,210
07840,209
15237,209
19468,209
228XX,209
43062,209
44646,209
45322,209
80601,209
924XX,209
94118,209
98366,209
99504,209
22601,208
22602,208
28086,208
43130,208
498XX,208
523XX,208
55422,208
55434,208
60089,208
612XX,208
63017,208
64119,208
77023,208
77505,208
811XX,208
89134,208
98405,208
07701,207
17402,207
19803,207
20653,207
22903,207
24012,207
32503,207
33703,207
44039,207
53719,207
68116,207
97202,207
01085,206
08619,206
11901,206
16601,206
44310,206
44511,206
52240,206
82009,206
83714,206
86004,206
89512,206
91754,206
95407,206
98036,206
10901,205
22043,205
47714,205
514XX,205
55449,205
73127,205
77627,205
84005,205
91040,205
96761,205
01970,204
12203,204
32953,204
48192,204
55016,204
60631,204
80221,204
87110,204
97086,204
98002,204
06830,203
11741,203
13502,203
19380,203
22207,203
50320,203
63123,203
64063,203
74136,203
75092,203
78041,203
80222,203
80524,203
84401,203
91733,203
94030,203
95076,203
96789,203
97504,203
98683,203
992XX,203
99352,203
02062,202
21009,202
42240,202
48168,202
71901,202
75503,202
80525,202
91384,202
19006,201
20170,201
32233,201
32548,201
34785,201
55109,201
665XX,201
78516,201
85259,201
92316,201
13021,200
27312,200
33952,200
46221,200
49009,200
63026,200
636XX,200
91932,200
92260,200
94530,200
96822,200
02118,199
14626,199
32034,199
37067,199
44011,199
46901,199
48316,199
61111,199
62704,199
65803,199
71913,199
73132,199
91301,199
943XX,199
44145,198
45230,198
45241,198
47906,198
55430,198
60077,198
75090,198
80831,198
846XX,198
97030,198
97402,198
02021,197
02186,197
13501,197
23233,197
33928,197
35630,197
46628,197
475XX,197
48105,197
63109,197
63701,197
68123,197
76111,197
78023,197
85716,197
87123,197
92119,197
92675,197
95133,197
95354,197
95667,197
07860,196
14227,196
14580,196
15317,196
27514,196
55423,196
61108,196
70607,196
726XX,196
10012,195
10022,195
14075,195
32504,195
33629,195
46142,195
473XX,195
49203,195
63801,195
77503,195
78207,195
80104,195
80538,195
97211,195
97401,195
98030,195
98684,195
20191,194
26508,194
27546,194
34135,194
38632,194
75205,194
77039,194
02143,193
07039,193
07869,193
22203,193
34684,193
558XX,193
74014,193
74055,193
93012,193
94044,193
94061,193
94121,193
94598,193
97219,193
26505,192
27549,192
29576,192
505XX,192
55024,192
61201,192
874XX,192
95824,192
98188,192
98513,192
99508,192
00921,191
10541,191
15601,191
19040,191
22153,191
457XX,191
46815,191
48210,191
53081,191
53211,191
61801,191
64804,191
65804,191
76401,191
80209,191
85306,191
895XX,191
93610,191
96793,191
01905,190
02127,190
02184,190
057XX,190
08807,190
22152,190
30507,190
33434,190
34972,190
59901,190
80130,190
84790,190
97080,190
07801,189
19426,189
43609,189
495XX,189
75094,189
80027,189
83709,189
97220,189
02721,188
031XX,188
20832,188
22801,188
23508,188
30534,188
49423,188
564XX,188
56560,188
64050,188
85331,188
91731,188
97302,188
98310,188
02893,187
08757,187
08759,187
10708,187
21146,187
39440,187
55113,187
55407,187
60714,187
79107,187
84062,187
89511,187
92653,187
95928,187
98371,187
13760,186
60156,186
72764,186
80120,186
80127,186
897XX,186
93263,186
95926,186
98029,186
98201,186
20912,185
21093,185
28092,185
52806,185
60487,185
61265,185
637XX,185
72758,185
89523,185
92673,185
94123,185
94402,185
98042,185
00926,184
02324,184
10013,184
27262,184
30501,184
34238,184
36535,184
44070,184
50701,184
60516,184
64081,184
72023,184
78520,184
83814,184
87031,184
92243,184
95382,184
95682,184
98105,184
98168,184
15213,183
19608,183
28334,183
37138,183
44144,183
44708,183
45414,183
59718,183
728XX,183
76082,183
76205,183
85756,183
92867,183
97214,183
97236,183
991XX,183
06111,182
29349,182
34113,182
50317,182
57106,182
60025,182
68105,182
74011,182
76148,182
83634,182
85713,182
95134,182
99205,182
03038,181
06790,181
12205,181
28409,181
30116,181
32927,181
36532,181
45247,181
45324,181
45840,181
49024,181
55318,181
78237,181
90603,181
94002,181
95361,181
95677,181
96003,181
97203,181
98312,181
02886,180
07871,180
10014,180
15236,180
250XX,180
53713,180
599XX,180
734XX,180
80026,180
84116,180
92083,180
94952,180
97301,180
98007,180
99336,180
07054,179
20152,179
34202,179
37660,179
49504,179
547XX,179
62025,179
65616,179
68164,179
70510,179
85712,179
89701,179
93455,179
98144,179
02038,178
08876,178
18505,178
30720,178
44221,178
52804,178
60030,178
667XX,178
91741,178
94941,178
98102,178
03104,177
17112,177
17406,177
18062,177
188XX,177
27263,177
27288,177
28146,177
499XX,177
55416,177
58701,177
60102,177
94116,177
94131,177
96813,177
98119,177
155XX,176
31558,176
45036,176
50265,176
50322,176
53202,176
56201,176
67212,176
79407,176
94089,176
02145,175
22485,175
40356,175
420XX,175
53140,175
55418,175
60002,175
60515,175
80031,175
80203,175
94132,175
95503,175
97060,175
012XX,174
039XX,174
18704,174
20175,174
29926,174
30721,174
41017,174
46140,174
53204,174
55417,174
66048,174
71291,174
76034,174
80126,174
80234,174
94549,174
95695,174
03079,173
06811,173
168XX,173
24153,173
31312,173
32082,173
32127,173
33525,173
37312,173
48906,173
49506,173
50023,173
55129,173
72143,173
74066,173
91740,173
98662,173
00949,172
13601,172
27607,172
28152,172
33606,172
37415,172
38501,172
39466,172
60047,172
60060,172
76115,172
80124,172
92236,172
98498,172
10543,171
11379,171
33707,171
44224,171
46806,171
491XX,171
49546,171
60005,171
60561,171
80138,171
812XX,171
87105,171
94597,171
33772,170
44004,170
44266,170
45140,170
45248,170
47630,170
53405,170
540XX,170
60062,170
60441,170
73115,170
73159,170
74137,170
80227,170
89408,170
90041,170
90740,170
92869,170
95358,170
96701,170
27403,169
32937,169
44240,169
49519,169
55414,169
60061,169
60451,169
664XX,169
687XX,169
75022,169
85743,169
955XX,169
97405,169
98501,169
98604,169
12866,168
20121,168
27012,168
36582,168
48152,168
49548,168
53132,168
59101,168
60126,168
60172,168
64012,168
66102,168
75662,168
85365,168
85641,168
88220,168
89434,168
94901,168
98512,168
14224,167
20136,167
20164,167
26003,167
46077,167
49424,167
64086,167
76901,167
832XX,167
92251,167
96814,167
98226,167
98258,167
01701,166
01915,166
02914,166
11426,166
21012,166
22180,166
28602,166
28645,166
43082,166
43420,166
46516,166
55305,166
61701,166
80214,166
85747,166
02816,165
046XX,165
158XX,165
17011,165
27518,165
32583,165
37604,165
42001,165
63367,165
76092,165
79118,165
85745,165
92706,165
95827,165
96734,165
98223,165
32162,164
35611,164
43551,164
437XX,164
49505,164
59601,164
77802,164
84010,164
91775,164
49201,163
65802,163
725XX,163
78040,163
92106,163
92284,163
97230,163
98597,163
01880,162
14220,162
14620,162
19002,162
48433,162
55330,162
57108,162
582XX,162
64152,162
84084,162
96732,162
99206,162
04103,161
07724,161
28655,161
30701,161
34491,161
48423,161
528XX,161
575XX,161
65251,161
72703,161
746XX,161
77351,161
80302,161
92501,161
93444,161
97005,161
01810,160
27517,160
33903,160
46033,160
48060,160
53051,160
60007,160
64015,160
66215,160
80537,160
93401,160
01089,159
22630,159
24018,159
34990,159
42223,159
45212,159
515XX,159
54915,159
76904,159
837XX,159
85351,159
92808,159
95403,159
97701,159
01201,158
034XX,158
11232,158
15217,158
255XX,158
40160,158
44281,158
565XX,158
76048,158
91803,158
98311,158
04401,157
29205,157
32327,157
32952,157
58601,157
96001,157
050XX,156
10075,156
21784,156
30506,156
31024,156
36832,156
37160,156
41011,156
41071,156
44052,156
474XX,156
49001,156
49418,156
53142,156
54956,156
68005,156
88012,156
95404,156
97224,156
98027,156
14213,155
20853,155
21014,155
32578,155
33950,155
44870,155
46062,155
48009,155
520XX,155
55420,155
72704,155
72756,155
79603,155
905XX,155
01930,154
23113,154
33542,154
33566,154
34275,154
37601,154
43214,154
45042,154
48843,154
57104,154
614XX,154
68046,154
683XX,154
72701,154
75901,154
