value,count
76244,1415
30012,1414
75241,1414
287XX,1413
33137,1413
33060,1411
53218,1411
027XX,1410
30088,1406
272XX,1402
60438,1402
32771,1398
33570,1397
89108,1396
94565,1394
30263,1392
231XX,1391
29461,1389
30094,1388
37128,1388
11204,1387
60466,1387
33125,1386
60636,1385
77545,1385
33511,1384
77450,1383
08701,1382
90805,1382
972XX,1382
11233,1381
183XX,1381
21206,1379
92336,1378
33193,1377
77386,1377
43232,1375
76001,1375
20011,1373
703XX,1373
30093,1372
20743,1370
89147,1368
32828,1367
30260,1365
77521,1362
20744,1361
75035,1361
34758,1360
481XX,1359
553XX,1359
72204,1359
76017,1358
07017,1351
75150,1349
91367,1349
10701,1347
30022,1345
33177,1344
76006,1343
640XX,1339
19805,1338
10462,1337
89123,1337
393XX,1336
79912,1336
07093,1335
77007,1335
77088,1331
015XX,1329
463XX,1327
20746,1325
30341,1324
180XX,1323
38018,1323
082XX,1322
29485,1322
36116,1321
60652,1321
19023,1320
89183,1319
374XX,1318
90019,1315
19709,1314
77338,1314
33029,1313
77063,1313
76131,1311
08046,1310
301XX,1308
967XX,1308
11691,1305
27405,1305
488XX,1305
92392,1305
75071,1303
75043,1302
285XX,1301
391XX,1300
33167,1299
28278,1297
77388,1297
33130,1295
76108,1294
77004,1291
11580,1286
30180,1286
10466,1285
19050,1283
75149,1282
713XX,1281
28227,1280
023XX,1279
75134,1279
89084,1277
254XX,1275
34741,1275
21215,1274
11206,1273
30047,1271
77045,1271
30066,1268
31313,1268
394XX,1268
28376,1265
060XX,1263
77054,1262
70122,1261
77049,1261
76542,1258
298XX,1257
76018,1256
93727,1256
29730,1254
33016,1254
10468,1252
93536,1250
23602,1249
53209,1245
70816,1243
75219,1241
33014,1239
32837,1238
028XX,1237
22193,1237
31419,1236
89011,1236
89141,1236
11235,1235
362XX,1234
70737,1234
34221,1232
432XX,1231
397XX,1230
43068,1228
92563,1228
10458,1226
33180,1223
75216,1223
359XX,1222
89081,1222
91335,1220
90043,1218
27703,1215
321XX,1212
30314,1211
19701,1209
23223,1209
443XX,1209
30035,1208
33407,1206
38109,1205
220XX,1204
75204,1202
30078,1199
11422,1197
38116,1197
32714,1195
33607,1195
38671,1195
19134,1192
19145,1192
10801,1191
100XX,1186
32825,1186
33435,1185
07018,1183
07601,1183
32835,1183
33165,1183
90028,1182
11230,1181
201XX,1181
75217,1180
70094,1176
90802,1173
714XX,1172
33414,1171
85323,1171
958XX,1171
20745,1170
23462,1170
77056,1169
30097,1165
30168,1162
60639,1162
780XX,1162
33844,1161
93065,1161
07036,1160
11510,1160
28212,1160
77375,1160
308XX,1158
662XX,1158
95823,1158
92376,1157
89121,1155
38115,1154
33993,1152
94533,1151
07104,1150
33317,1149
10029,1146
07083,1144
33166,1144
89103,1144
325XX,1143
30319,1141
78665,1141
10452,1138
245XX,1138
33139,1138
923XX,1137
30014,1135
77016,1134
30064,1133
367XX,1133
89119,1133
33127,1131
78109,1131
30106,1129
33141,1129
43219,1129
90008,1129
75232,1128
081XX,1126
91601,1124
33436,1122
762XX,1122
29203,1121
35405,1121
34761,1120
33028,1119
93551,1119
29407,1118
20707,1117
85041,1116
44121,1115
068XX,1114
21234,1114
33991,1113
92101,1108
92553,1108
912XX,1107
32703,1106
341XX,1106
89032,1106
94544,1105
10473,1104
33634,1104
30815,1103
76132,1102
712XX,1100
91605,1100
78253,1099
32209,1097
184XX,1096
27407,1096
388XX,1095
442XX,1093
23608,1092
76028,1092
11706,1089
38637,1089
92618,1088
953XX,1088
30518,1087
89129,1087
065XX,1086
19135,1084
89052,1082
89178,1082
763XX,1080
89139,1080
956XX,1080
29501,1078
33604,1076
926XX,1076
77089,1073
93550,1073
89115,1072
10463,1071
72076,1071
20176,1070
01844,1068
46254,1068
48237,1068
72209,1067
19119,1065
77036,1065
10459,1061
20602,1060
34208,1059
77040,1059
194XX,1057
77477,1057
11210,1056
33175,1055
48021,1055
75211,1055
85338,1055
809XX,1054
77014,1053
387XX,1052
28306,1049
11211,1048
46235,1047
38118,1046
35806,1044
48180,1043
29210,1041
89113,1041
91606,1037
90706,1036
040XX,1035
22554,1034
32725,1034
32712,1032
142XX,1031
30017,1031
785XX,1030
33183,1029
024XX,1028
30004,1028
33071,1028
35810,1028
38141,1028
11553,1027
23234,1027
27834,1026
92880,1026
85138,1025
932XX,1024
72113,1023
759XX,1023
29607,1022
07106,1021
11590,1021
43229,1021
44128,1021
07304,1020
60605,1020
90003,1020
11420,1019
53216,1019
44137,1018
77566,1018
29016,1017
33172,1017
20874,1015
78613,1015
29209,1014
89122,1013
08861,1012
30241,1012
20721,1011
230XX,1010
11225,1009
10451,1007
778XX,1007
85339,1006
23434,1005
32832,1005
70791,1005
75039,1005
44122,1004
48239,1004
33897,1003
43230,1002
32303,1001
34771,1001
60431,1000
90746,1000
60504,998
197XX,997
33196,997
30092,996
48205,994
70726,994
21133,993
27587,993
92345,988
33138,987
33323,987
48185,987
90015,986
60402,985
60609,985
122XX,983
20603,983
32216,983
030XX,982
07306,981
23224,981
90731,981
114XX,980
38127,980
30005,978
356XX,978
44120,978
46226,977
92882,977
106XX,976
07003,975
75181,975
78653,974
937XX,974
32208,973
85353,973
30008,972
90036,971
77057,970
11432,969
33612,968
43110,967
33073,966
85326,966
23320,965
77033,964
781XX,964
78254,964
10550,963
28217,963
91764,963
94531,961
28078,960
33401,960
77065,960
389XX,959
925XX,959
94605,959
170XX,958
